CustomerID,recency,frequency,monetary,first_order,last_order,country,cluster
12346,326,1,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,United Kingdom,3
12347,2,7,4310.0,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland,0
12348,75,4,1797.24,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland,3
12349,19,1,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy,2
12350,310,1,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,1
12352,36,8,2506.04,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway,3
12353,204,1,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain,1
12354,232,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,1
12355,214,1,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,Bahrain,1
12356,23,3,2811.43,2011-01-18 09:50:00,2011-11-17 08:40:00,Portugal,3
12357,33,1,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland,3
12358,2,2,1168.06,2011-07-12 10:04:00,2011-12-08 10:26:00,Austria,2
12359,58,4,6372.58,2011-01-12 12:43:00,2011-10-13 12:47:00,Cyprus,3
12360,52,3,2662.06,2011-05-23 09:43:00,2011-10-18 15:22:00,Austria,3
12361,287,1,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,Belgium,1
12362,3,10,5226.23,2011-02-17 10:30:00,2011-12-06 15:40:00,Belgium,0
12363,110,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified,1
12364,8,4,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium,2
12365,291,2,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,Cyprus,1
12367,4,1,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark,2
12370,51,4,3545.69,2010-12-14 12:58:00,2011-10-19 14:51:00,Cyprus,3
12371,45,2,1887.96,2011-10-11 10:43:00,2011-10-26 10:16:00,Switzerland,3
12372,72,3,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark,3
12373,311,1,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,Austria,1
12374,25,1,742.9300000000001,2011-11-14 15:37:00,2011-11-14 15:37:00,Austria,2
12375,11,2,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,Finland,2
12377,315,2,1628.12,2010-12-20 09:37:00,2011-01-28 15:45:00,Switzerland,3
12378,130,1,4008.62,2011-08-02 10:34:00,2011-08-02 10:34:00,Switzerland,3
12379,82,2,852.24,2011-06-22 16:32:00,2011-09-19 10:09:00,Belgium,3
12380,22,4,2724.81,2011-06-07 09:49:00,2011-11-18 11:27:00,Belgium,3
12381,5,5,1845.31,2011-08-12 09:57:00,2011-12-05 12:44:00,Norway,0
12383,185,5,1850.56,2010-12-22 14:28:00,2011-06-08 08:02:00,Belgium,3
12384,29,2,585.27,2011-08-10 11:23:00,2011-11-11 08:39:00,Switzerland,2
12386,338,2,401.9,2010-12-08 09:53:00,2011-01-06 12:37:00,Australia,1
12388,16,6,2780.66,2011-01-17 11:12:00,2011-11-24 12:30:00,Australia,0
12390,80,1,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,Belgium,1
12391,22,1,460.89,2011-11-18 12:07:00,2011-11-18 12:07:00,Cyprus,2
